,title,mal id,type,score,total episodes,english title,air date start,air date end,average score,rank,popularity,genre,studio,source,season
601,Tiger & Bunny,9941,TV,9,25,Tiger & Bunny,2011-04-03T00:00:00+00:00,2011-09-18T00:00:00+00:00,7.96,578,770,Action,Sunrise,Original,Spring 2011
602,Toki no Tabibito: Time Stranger,3115,Movie,7,1,,1986-12-20T00:00:00+00:00,,6.08,7745,7605,Action,Madhouse,Novel,
603,Tokyo Godfathers,759,Movie,8,1,Tokyo Godfathers,2003-11-08T00:00:00+00:00,,8.29,226,734,Comedy,Madhouse,Original,
604,Tokyo Loop,4761,Movie,7,1,,2006-12-23T00:00:00+00:00,,5.2,10067,9391,Comedy,,Original,
605,Tokyo Magnitude 8.0,6211,TV,8,11,Tokyo Magnitude 8.0,2009-07-10T00:00:00+00:00,2009-09-18T00:00:00+00:00,8.07,456,594,Drama,Bones,Original,Summer 2009
606,Tokyo Vice,2003,OVA,6,1,The Tokyo Project,1988-06-25T00:00:00+00:00,,5.43,9634,9366,Action,J.C.Staff,Original,
607,Tonari no Seki-kun,18139,TV,7,21,Tonari no Seki-kun: The Master of Killing Time,2014-01-06T00:00:00+00:00,2014-05-26T00:00:00+00:00,7.59,1318,822,Comedy,Shin-Ei Animation,Manga,Winter 2014
608,Tonari no Totoro,523,Movie,8,1,My Neighbor Totoro,1988-04-16T00:00:00+00:00,,8.34,195,122,Adventure,Studio Ghibli,Original,
609,Tonari no Yamada-kun,415,Movie,8,1,My Neighbors the Yamadas,1999-07-17T00:00:00+00:00,,7.2,2752,2798,Slice of Life,Studio Ghibli,4-koma manga,
610,Tonkatsu DJ Agetarou,31370,TV,8,12,,2016-04-10T00:00:00+00:00,2016-06-26T00:00:00+00:00,7.14,3004,4496,Music,Studio Deen,Manga,Spring 2016
611,Top wo Nerae 2! Diebuster,1002,OVA,9,6,Gunbuster 2,2004-10-03T00:00:00+00:00,2006-08-25T00:00:00+00:00,7.68,1074,1836,Action,Gainax,Original,
612,Top wo Nerae! Gunbuster,949,OVA,9,6,Gunbuster,1988-10-07T00:00:00+00:00,1989-07-07T00:00:00+00:00,7.89,682,1381,Action,Gainax,Original,
613,Toradora!,4224,TV,8,25,Toradora!,2008-10-02T00:00:00+00:00,2009-03-26T00:00:00+00:00,8.27,244,16,Slice of Life,J.C.Staff,Light novel,Fall 2008
614,Turn A Gundam,95,TV,10,50,∀ Gundam,1999-04-09T00:00:00+00:00,2000-04-14T00:00:00+00:00,7.7,1023,2678,Action,Sunrise,Original,Spring 1999
615,Turning Girls,19133,ONA,7,7,,2013-06-18T00:00:00+00:00,2013-07-30T00:00:00+00:00,6.05,7905,5460,Comedy,Trigger,Original,
616,Uchida Shungicu no Noroi no One-Piece,41340,Special,9,1,,1992-08-25T00:00:00+00:00,,5.89,8424,11617,Horror,Kyoto Animation,Manga,
617,Uchouten Kazoku,17909,TV,8,13,The Eccentric Family,2013-07-07T00:00:00+00:00,2013-09-29T00:00:00+00:00,7.89,683,1029,Slice of Life,P.A. Works,Novel,Summer 2013
618,Uchuu Enban Dai-Sensou,5620,Movie,7,1,,1975-07-21T00:00:00+00:00,,5.71,8941,10108,Action,,Manga,
619,Uchuu no Senshi,2516,OVA,5,6,Starship Troopers,1988-10-25T00:00:00+00:00,1988-12-17T00:00:00+00:00,6.21,7209,6486,Space,Sunrise,Book,
620,Uchuu Patrol Luluco,32681,TV,9,13,Space Patrol Luluco,2016-04-01T00:00:00+00:00,2016-06-24T00:00:00+00:00,7.6,1272,1140,Action,Trigger,Original,Spring 2016
621,Uchuu Senkan Yamato (Movie),711,Movie,5,1,Space Battleship Yamato,1977-08-06T00:00:00+00:00,,6.73,4727,6872,Military,,Original,
622,Uchuu Senkan Yamato 2199,12029,OVA,7,26,Star Blazers: Space Battleship Yamato 2199,2012-05-25T00:00:00+00:00,2013-10-25T00:00:00+00:00,8.38,164,1452,Action,Xebec,Original,
623,Ueno-san wa Bukiyou,37920,TV,6,12,"How clumsy you are, Miss Ueno.",2019-01-07T00:00:00+00:00,2019-03-25T00:00:00+00:00,6.66,5031,1597,Comedy,Lesprit,Manga,Winter 2019
624,Umezu Kazuo no Noroi,6276,OVA,6,1,The Curse of Kazuo Umezu,1990-03-01T00:00:00+00:00,,6.15,7467,6446,Horror,,Unknown,
625,Umi ga Kikoeru,743,Special,8,1,The Ocean Waves,1993-05-05T00:00:00+00:00,,6.65,5118,1730,Drama,J.C.Staff,Novel,
626,Urashima Tarou,7485,Movie,6,1,,1918-02-01T00:00:00+00:00,,4.7,10547,8817,Historical,,Other,
627,Urusei Yatsura Movie 1: Only You,1920,Movie,7,1,,1983-02-13T00:00:00+00:00,,7.07,3362,5453,Action,Studio Pierrot,Manga,
628,Urusei Yatsura Movie 2: Beautiful Dreamer,1921,Movie,0,1,,1984-02-11T00:00:00+00:00,,7.82,786,4383,Action,Studio Pierrot,Manga,
629,Usakame,32454,TV,7,12,Usakame,2016-04-12T00:00:00+00:00,2016-06-28T00:00:00+00:00,5.81,8665,4757,Slice of Life,Millepensee,Manga,Spring 2016
630,Vampire Hunter,1952,OVA,7,4,Night Warriors: Darkstalkers' Revenge,1997-03-21T00:00:00+00:00,1998-03-27T00:00:00+00:00,6.65,5122,4117,Action,Madhouse,Game,
631,Vampire Hunter D,732,Movie,6,1,Vampire Hunter D,1985-12-21T00:00:00+00:00,,7.09,3253,1850,Action,Production Reed,Light novel,
632,Vampire Hunter D (2000),543,Movie,8,1,Vampire Hunter D: Bloodlust,2000-08-25T00:00:00+00:00,,7.89,684,1135,Action,Madhouse,Light novel,
633,Venus Senki,544,Movie,0,1,Venus Wars,1989-03-11T00:00:00+00:00,,6.78,4476,4730,Action,Triangle Staff,Manga,
634,Violence Jack: Harlem Bomber-hen,1341,OVA,4,1,Violence Jack: Slumking,1986-06-05T00:00:00+00:00,,5.24,10001,4969,Action,,Unknown,
635,Violence Jack: Hell's Wind-hen,1343,OVA,4,1,Violence Jack: Hell's Wind,1990-11-09T00:00:00+00:00,,5.48,9514,5761,Action,,Manga,
636,Violence Jack: Jigoku Gai-hen,1342,OVA,4,1,Violence Jack: Evil Town,1988-12-06T00:00:00+00:00,,5.56,9306,5269,Action,,Unknown,
637,Waga Seishun no Arcadia,2202,Movie,6,1,,1982-07-28T00:00:00+00:00,,7.51,1556,5248,Action,Toei Animation,Unknown,
638,Wakako-zake,30437,TV,7,12,Wakakozake,2015-07-05T00:00:00+00:00,2015-09-20T00:00:00+00:00,6.65,5124,2781,Seinen,Office DCI,Manga,Summer 2015
639,Wanna-Be's,4176,OVA,6,1,,1986-12-25T00:00:00+00:00,,5.14,10158,8907,Action,AIC,Unknown,
640,Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,16742,TV,7,12,"WataMote: No Matter How I Look At It, It's You Guys' Fault I'm Unpopular!",2013-07-09T00:00:00+00:00,2013-09-24T00:00:00+00:00,7.07,3363,218,Slice of Life,Silver Link.,Web manga,Summer 2013
641,Windaria,1130,Movie,6,1,Once Upon A Time,1986-07-19T00:00:00+00:00,,6.55,5603,5404,Action,Gallop,Original,
642,Working!!,6956,TV,7,13,Wagnaria!!,2010-04-04T00:00:00+00:00,2010-06-27T00:00:00+00:00,7.71,1014,349,Comedy,A-1 Pictures,4-koma manga,Spring 2010
643,Working!!!,25879,TV,8,13,Wagnaria!!3,2015-07-05T00:00:00+00:00,2015-09-27T00:00:00+00:00,8.05,476,735,Comedy,A-1 Pictures,4-koma manga,Summer 2015
644,Working!!!: Lord of the Takanashi,31715,Special,7,1,,2016-03-30T00:00:00+00:00,,8.21,298,1583,Comedy,A-1 Pictures,4-koma manga,
645,Working'!!,10521,TV,7,13,Wagnaria!!2,2011-10-01T00:00:00+00:00,2011-12-24T00:00:00+00:00,7.88,690,636,Comedy,A-1 Pictures,4-koma manga,Fall 2011
646,X Densha de Ikou,1973,OVA,8,1,,1987-11-06T00:00:00+00:00,,5.78,8736,8047,Mystery,Madhouse,Novel,
647,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,14813,TV,6,13,My Teen Romantic Comedy SNAFU,2013-04-05T00:00:00+00:00,2013-06-28T00:00:00+00:00,8.07,457,71,Slice of Life,Brain's Base,Light novel,Spring 2013
648,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,23847,TV,8,13,My Teen Romantic Comedy SNAFU TOO!,2015-04-03T00:00:00+00:00,2015-06-26T00:00:00+00:00,8.28,240,129,Slice of Life,feel.,Light novel,Spring 2015
649,Yamada-kun to 7-nin no Majo (TV),28677,TV,6,12,Yamada-kun and the Seven Witches,2015-04-12T00:00:00+00:00,2015-06-28T00:00:00+00:00,7.68,1076,193,Harem,LIDENFILMS,Manga,Spring 2015
650,Yami no Shihosha Judge,1340,OVA,6,1,Judge,1991-06-15T00:00:00+00:00,,5.37,9776,7763,Supernatural,,Manga,
651,Yami no Teio: Kyuuketsuki Dracula,3801,Special,8,1,Dracula: Sovereign of the Damned,1980-08-19T00:00:00+00:00,,3.84,10721,7882,Vampire,Toei Animation,Other,
652,Yodomi no Sakagi,33777,Movie,7,1,Crazy Little Thing,2014-01-01T00:00:00+00:00,,5.94,8245,11435,Dementia,,Original,
653,Yojouhan Shinwa Taikei,7785,TV,10,11,The Tatami Galaxy,2010-04-23T00:00:00+00:00,2010-07-02T00:00:00+00:00,8.61,61,441,Mystery,Madhouse,Novel,Spring 2010
654,Yoru wa Mijikashi Arukeyo Otome,34537,Movie,8,1,"Night Is Short, Walk on Girl",2017-04-07T00:00:00+00:00,,8.23,275,1663,Comedy,Science SARU,Novel,
655,Youchien Senshi: Hanamaru Girls,16648,Special,0,3,,2010-08-25T00:00:00+00:00,,5.8,8676,8632,Action,Gainax,Manga,
656,Youjo Senki,32615,TV,7,12,The Saga of Tanya the Evil,2017-01-06T00:00:00+00:00,2017-03-31T00:00:00+00:00,8.02,501,175,Action,Nut,Light novel,Winter 2017
657,Youjo Senki Movie,37055,Movie,8,1,,2019-02-08T00:00:00+00:00,,8.3,224,969,Action,Nut,Light novel,
658,Youjuu Toshi,1107,Movie,6,1,Wicked City,1987-04-25T00:00:00+00:00,,6.44,6124,2907,Action,Madhouse,Novel,
659,Youma,1484,OVA,5,2,Blood Reign: Curse of the Yoma,1989-05-01T00:00:00+00:00,1989-06-01T00:00:00+00:00,6.09,7737,5580,Action,J.C.Staff,Manga,
660,Yu☆Gi☆Oh! (Movie),2006,Movie,5,1,,1999-03-06T00:00:00+00:00,,6.91,3976,2399,Game,Toei Animation,Manga,
661,Yuri!!! on Ice,32995,TV,6,12,Yuri!!! On ICE,2016-10-06T00:00:00+00:00,2016-12-22T00:00:00+00:00,7.93,633,205,Comedy,MAPPA,Original,Fall 2016
662,Yuru Camp△,34798,TV,7,12,Laid-Back Camp,2018-01-04T00:00:00+00:00,2018-03-22T00:00:00+00:00,8.27,245,488,Slice of Life,C-Station,Manga,Winter 2018
663,Yuru Yuri,10495,TV,6,12,YuruYuri: Happy Go Lily,2011-07-05T00:00:00+00:00,2011-09-20T00:00:00+00:00,7.61,1264,483,Slice of Life,Doga Kobo,Manga,Summer 2011
664,Yuru Yuri San☆Hai!,30279,TV,7,12,,2015-10-06T00:00:00+00:00,2015-12-22T00:00:00+00:00,7.97,573,1378,Comedy,TYO Animations,Manga,Fall 2015
665,Yuru Yuri♪♪,12403,TV,6,12,YuruYuri: Happy Go Lily ♪♪,2012-07-03T00:00:00+00:00,2012-09-18T00:00:00+00:00,7.86,712,956,Slice of Life,Doga Kobo,Manga,Summer 2012
666,Zan Sayonara Zetsubou Sensei,6377,TV,7,13,,2009-07-05T00:00:00+00:00,2009-09-27T00:00:00+00:00,7.91,658,1498,Comedy,Shaft,Manga,Summer 2009
667,Zan Sayonara Zetsubou Sensei Bangaichi,7044,OVA,7,2,,2009-11-17T00:00:00+00:00,2010-02-17T00:00:00+00:00,7.81,803,2703,Comedy,Shaft,Manga,
668,Zoku Sayonara Zetsubou Sensei,3228,TV,9,13,,2008-01-06T00:00:00+00:00,2008-03-30T00:00:00+00:00,7.93,636,1233,Comedy,Shaft,Manga,Winter 2008
