,title,mal id,type,score,total episodes,english title,air date start,air date end,average score,rank,popularity,genre,studio,source,season
359,Macross 7,1397,TV,8,49,,1994-10-16T00:00:00+00:00,1995-09-24T00:00:00+00:00,7.13,3060,3258,Action,Production Reed,Original,Fall 1994
360,Macross F,3572,TV,5,25,Macross Frontier,2008-04-04T00:00:00+00:00,2008-09-26T00:00:00+00:00,7.92,643,1084,Action,Satelight,Original,Spring 2008
361,Macross F Movie 1: Itsuwari no Utahime,5310,Movie,7,1,Macross Frontier: The False Songstress,2009-11-21T00:00:00+00:00,,7.83,770,3075,Action,Satelight,Original,
362,Macross F Movie 2: Sayonara no Tsubasa,7222,Movie,0,1,,2011-02-26T00:00:00+00:00,,7.97,566,3280,Action,Satelight,Original,
363,Macross II: Lovers Again,1262,OVA,7,6,,1992-05-21T00:00:00+00:00,1992-11-21T00:00:00+00:00,6.33,6630,4803,Adventure,AIC,Original,
364,Macross Plus,474,OVA,8,4,,1994-08-25T00:00:00+00:00,1995-06-25T00:00:00+00:00,7.72,995,2584,Drama,Triangle Staff,Original,
365,Macross Zero,194,OVA,7,5,Macross Zero,2002-12-21T00:00:00+00:00,2004-10-20T00:00:00+00:00,7.56,1409,2755,Adventure,Satelight,Original,
366,Macross: Do You Remember Love?,1089,Movie,9,1,,1984-07-07T00:00:00+00:00,,7.97,567,2636,Action,Artland,Original,
367,Mad★Bull 34,3448,OVA,7,4,Mad Bull 34,1990-12-21T00:00:00+00:00,1992-08-21T00:00:00+00:00,6.32,6694,5240,Action,Magic Bus,Manga,
368,Mahoromatic: Automatic Maiden,276,TV,5,12,Mahoromatic: Automatic Maiden,2001-10-05T00:00:00+00:00,2001-12-28T00:00:00+00:00,7.19,2796,2103,Comedy,Gainax,Manga,Fall 2001
369,Mahou Shoujo Madoka★Magica,9756,TV,9,12,Puella Magi Madoka Magica,2011-01-07T00:00:00+00:00,2011-04-22T00:00:00+00:00,8.39,160,65,Psychological,Shaft,Original,Winter 2011
370,Mairimashita! Iruma-kun,39196,TV,8,23,Welcome to Demon School! Iruma-kun,2019-10-05T00:00:00+00:00,2020-03-07T00:00:00+00:00,7.72,996,824,Comedy,Bandai Namco Pictures,Manga,Fall 2019
371,Majo no Takkyuubin,512,Movie,10,1,Kiki's Delivery Service,1989-07-29T00:00:00+00:00,,8.25,260,345,Adventure,Studio Ghibli,Novel,
372,Makai Toshi Shinjuku,499,OVA,7,1,Demon City Shinjuku,1988-10-25T00:00:00+00:00,,6.17,7370,4114,Adventure,Madhouse,Novel,
373,Maken Liner 0011 Henshin Seyo!,11269,Movie,7,1,,1972-07-16T00:00:00+00:00,,5.55,9346,11550,Action,Toei Animation,Unknown,
374,Makyou Gaiden Le Deus,4058,OVA,6,1,Ladius,1987-12-01T00:00:00+00:00,,5.61,9190,9385,Action,Production Reed,Unknown,
375,Mamono Hunter Youko,1280,OVA,6,6,Devil Hunter Yohko,1990-12-01T00:00:00+00:00,1995-07-01T00:00:00+00:00,6.29,6824,4851,Fantasy,Madhouse,Original,
376,Manie-Manie: Meikyuu Monogatari,1951,Movie,0,3,Neo Tokyo,1989-04-15T00:00:00+00:00,,7.05,3428,3345,Adventure,Madhouse,Original,
377,Maria†Holic,5030,TV,8,12,Maria†Holic,2009-01-04T00:00:00+00:00,2009-03-22T00:00:00+00:00,7.06,3411,959,Comedy,Shaft,Manga,Winter 2009
378,Maria†Holic Alive,9712,TV,6,12,Maria†Holic Alive,2011-04-08T00:00:00+00:00,2011-06-24T00:00:00+00:00,6.99,3652,2021,Comedy,Shaft,Manga,Spring 2011
379,Mazinkaiser,1064,OVA,7,7,Mazinkaiser,2001-09-25T00:00:00+00:00,2002-09-20T00:00:00+00:00,7.31,2286,5194,Adventure,Brain's Base,Manga,
380,Megazone 23,1935,OVA,8,4,Megazone 23,1985-03-09T00:00:00+00:00,1989-12-22T00:00:00+00:00,6.82,4341,4190,Action,Artland,Original,
381,Meitantei Holmes,1972,TV,8,26,Sherlock Hound,1984-11-06T00:00:00+00:00,1985-05-21T00:00:00+00:00,7.38,2010,5150,Action,Gallop,Novel,Fall 1984
382,Memory,1984,Movie,8,1,,1964-09-21T00:00:00+00:00,,6.09,7726,8092,Mystery,,Original,
383,Metropolis,522,Movie,9,1,,2001-05-26T00:00:00+00:00,,7.54,1479,1646,Adventure,Madhouse,Manga,
384,Mezzo Forte,221,OVA,8,2,,2000-05-25T00:00:00+00:00,2001-06-25T00:00:00+00:00,6.65,,3253,Action,Arms,Original,
385,Midnight Eye: Gokuu,1879,OVA,8,1,Goku: Midnight Eye,1989-01-27T00:00:00+00:00,,6.49,5876,5457,Action,Madhouse,Manga,
386,Midnight Eye: Gokuu II,1880,OVA,7,1,Goku II: Midnight Eye,1989-12-22T00:00:00+00:00,,6.25,7003,6987,Action,Madhouse,Manga,
387,Mimi wo Sumaseba,585,Movie,10,1,Whisper of the Heart,1995-07-15T00:00:00+00:00,,8.24,265,647,Slice of Life,Studio Ghibli,Manga,
388,Minami-ke,2963,TV,6,13,,2007-10-08T00:00:00+00:00,2007-12-31T00:00:00+00:00,7.7,1036,931,Slice of Life,Daume,Manga,Fall 2007
389,Mind Game,875,Movie,8,1,,2004-08-07T00:00:00+00:00,,7.8,827,1956,Adventure,Studio 4°C,Manga,
390,Mitsudomoe,7627,TV,7,13,Mitsudomoe,2010-07-03T00:00:00+00:00,2010-09-26T00:00:00+00:00,7.61,1248,1459,Comedy,Bridge,Manga,Summer 2010
391,Mitsudomoe: Oppai Ippai Mama Genki,9396,Special,7,1,,2011-02-23T00:00:00+00:00,,7.59,1306,3941,Slice of Life,Bridge,Unknown,
